route_id,total_mileage,total_operating_time,average_speed
Q103,402466.83301,47478,8.73016054625
M12,372228.95038,54211,7.039045519327731
M100,1914719.63681,319364,6.086319835714286
Q83,1755278.9533,195374,9.105929305
Q43,3082508.5917,332661,9.428101583333333
QM5,1007608.50959,77200,13.626952177083333
M103,1888614.3689,315570,6.074658744957983
X68,407048.741751,32390,13.388773150735294
QM10,100282.08381,10189,10.572223454887218
M11,1852714.0797,310107,6.230368189915966
B84,195294.8134,20061,9.522548369747899
S90,348033.369718,21168,16.6504335
SIM2,1209285.79434,50856,25.172688246478873
M1,2376054.5726,379435,6.813251396638656
B46+,2812793.93125,334372,8.319167987588652
S74,3323889.051,244795,13.521477560416667
Q84,1416675.5087,132678,10.89210685
B9,2494371.2956,359070,7.18783052815126
S54,878278.34596,70177,12.615901663194444
Q72,823324.73258,127210,6.313258752916667
M14D+,1998200.0265,317167,6.3256206
BX7,2274879.9503,319824,7.172022507563025
Q77,1369367.9852,161024,8.90627680875
SIM22,863351.54901,36310,24.418600077464789
S53,3306990.5109,275890,12.053500870833333
SIM7,798779.91398,46949,17.503776992957746
B60,1947385.9673,285877,6.954271507142857
S40,2141914.1567,139073,15.4426028
BXM7,3225289.7556,218128,15.574059512605042
SIM3C,1874368.6129,122469,15.62418009375
Q49,916390.97818,147100,6.199731184166667
SIM8,1497995.88522,71233,21.064462901408451
QM20,622956.628386,50768,12.739582697916667
S55,580952.80387,40033,14.609392701388889
B61,1802441.5601,236811,7.715316830252101
BX6+,1538236.9642,202413,7.825877385294118
BX40,1659134.4508,238796,6.980763525210084
B43,1833878.3168,281987,6.594543600840336
SIM8X,298192.737596,13533,23.486246811965812
SIM10,1790155.2523,104757,17.470597419014084
B13,1860211.6001,227559,8.303564669327731
B100,1258142.99635,133354,9.607814403361344
M96,1107756.88184,204437,5.590813214705882
BX33,427052.21187,63668,6.852408262184874
B63,2052251.3466,348580,5.933991719327731
BX32,1061739.72733,179722,6.194768616386555
QM1,181370.753377,14843,13.669910194029851
Q41,1333677.297,152255,8.999641100420168
SIM32,278289.983456,15031,19.62436539084507
M98,373325.3586,41162,9.444881389230769
B44,3147109.6631,427323,7.400742966806723
B67,1087397.04921,157154,7.163171170588235
B26,2019355.2257,296261,6.896323545798319
B1,2548680.3584,355617,7.155854843277311
S51,1473229.02554,113027,12.928760814583333
QM11,295288.84188,20487,15.512213343283582
